datadot,x,y
"211.6665,794.998",211.6665,794.998
"211.6665,807.998",211.6665,807.998
"198.6665,807.998",198.6665,807.998
"198.6665,820.998",198.6665,820.998
"185.6665,820.998",185.6665,820.998
"185.6665,807.998",185.6665,807.998
"185.6665,794.998",185.6665,794.998
"172.6665,794.998",172.6665,794.998
"172.6665,807.998",172.6665,807.998
"172.6665,820.998",172.6665,820.998
"159.6665,820.998",159.6665,820.998
"159.6665,807.998",159.6665,807.998
"159.6665,794.998",159.6665,794.998
"146.6665,794.998",146.6665,794.998
"133.6665,794.998",133.6665,794.998
"133.6665,807.998",133.6665,807.998
"133.6665,820.998",133.6665,820.998
"146.6665,820.998",146.6665,820.998
"146.6665,833.998",146.6665,833.998
"159.6665,833.998",159.6665,833.998
"172.6665,833.998",172.6665,833.998
"172.6665,846.998",172.6665,846.998
"172.6665,859.998",172.6665,859.998
"185.6665,859.998",185.6665,859.998
"185.6665,872.998",185.6665,872.998
"185.6665,885.998",185.6665,885.998
"172.6665,885.998",172.6665,885.998
"172.6665,898.998",172.6665,898.998
"185.6665,898.998",185.6665,898.998
"198.6665,898.998",198.6665,898.998
"211.6665,898.998",211.6665,898.998
"211.6665,911.998",211.6665,911.998
"224.6665,911.998",224.6665,911.998
"224.6665,898.998",224.6665,898.998
"237.6665,898.998",237.6665,898.998
"237.6665,885.998",237.6665,885.998
"250.6665,885.998",250.6665,885.998
"263.6665,885.998",263.6665,885.998
"263.6665,872.998",263.6665,872.998
"276.6665,872.998",276.6665,872.998
"276.6665,859.998",276.6665,859.998
"263.6665,859.998",263.6665,859.998
"250.6665,859.998",250.6665,859.998
"250.6665,872.998",250.6665,872.998
"237.6665,872.998",237.6665,872.998
"224.6665,872.998",224.6665,872.998
"224.6665,885.998",224.6665,885.998
"211.6665,885.998",211.6665,885.998
"198.6665,885.998",198.6665,885.998
"198.6665,872.998",198.6665,872.998
"211.6665,872.998",211.6665,872.998
"211.6665,859.998",211.6665,859.998
"198.6665,859.998",198.6665,859.998
"198.6665,846.998",198.6665,846.998
"211.6665,846.998",211.6665,846.998
"224.6665,846.998",224.6665,846.998
"224.6665,859.998",224.6665,859.998
"237.6665,859.998",237.6665,859.998
"237.6665,846.998",237.6665,846.998
"250.6665,846.998",250.6665,846.998
"263.6665,846.998",263.6665,846.998
"276.6665,846.998",276.6665,846.998
"289.6665,846.998",289.6665,846.998
"302.6665,846.998",302.6665,846.998
"302.6665,859.998",302.6665,859.998
"315.6665,859.998",315.6665,859.998
"328.6665,872.998",328.6665,872.998
"315.6665,872.998",315.6665,872.998
"328.6665,859.998",328.6665,859.998
"315.6665,846.998",315.6665,846.998
"328.6665,846.998",328.6665,846.998
"328.6665,833.998",328.6665,833.998
"341.6665,846.998",341.6665,846.998
"341.6665,833.998",341.6665,833.998
"354.6665,846.998",354.6665,846.998
"380.6665,846.998",380.6665,846.998
"380.6665,859.998",380.6665,859.998
"367.6665,859.998",367.6665,859.998
"393.6665,846.998",393.6665,846.998
"393.6665,859.998",393.6665,859.998
"406.6665,859.998",406.6665,859.998
"419.6665,846.998",419.6665,846.998
"419.6665,872.998",419.6665,872.998
"432.6665,885.998",432.6665,885.998
"419.6665,924.998",419.6665,924.998
"419.6665,911.998",419.6665,911.998
"419.6665,950.998",419.6665,950.998
"445.6665,950.998",445.6665,950.998
"458.6665,963.998",458.6665,963.998
"484.6665,963.998",484.6665,963.998
"484.6665,950.998",484.6665,950.998
"497.6665,937.998",497.6665,937.998
"523.6665,950.998",523.6665,950.998
"523.6665,963.998",523.6665,963.998
"536.6665,963.998",536.6665,963.998
"536.6665,976.998",536.6665,976.998
"549.6665,976.998",549.6665,976.998
"562.6665,976.998",562.6665,976.998
"562.6665,989.998",562.6665,989.998
"575.6665,989.998",575.6665,989.998
"575.6665,976.998",575.6665,976.998
"588.6665,976.998",588.6665,976.998
"588.6665,989.998",588.6665,989.998
"601.6665,989.998",601.6665,989.998
"614.6665,989.998",614.6665,989.998
"614.6665,976.998",614.6665,976.998
"627.6665,976.998",627.6665,976.998
"627.6665,950.998",627.6665,950.998
"614.6665,950.998",614.6665,950.998
"614.6665,937.998",614.6665,937.998
"614.6665,924.998",614.6665,924.998
"601.6665,924.998",601.6665,924.998
"588.6665,924.998",588.6665,924.998
"588.6665,911.998",588.6665,911.998
"601.6665,911.998",601.6665,911.998
"601.6665,898.998",601.6665,898.998
"614.6665,898.998",614.6665,898.998
"614.6665,885.998",614.6665,885.998
"614.6665,872.998",614.6665,872.998
"614.6665,859.998",614.6665,859.998
"614.6665,846.998",614.6665,846.998
"614.6665,833.998",614.6665,833.998
"614.6665,820.998",614.6665,820.998
"627.6665,820.998",627.6665,820.998
"627.6665,807.998",627.6665,807.998
"627.6665,794.998",627.6665,794.998
"614.6665,794.998",614.6665,794.998
"614.6665,781.998",614.6665,781.998
"614.6665,768.998",614.6665,768.998
"614.6665,755.998",614.6665,755.998
"614.6665,742.998",614.6665,742.998
"627.6665,742.998",627.6665,742.998
"627.6665,755.998",627.6665,755.998
"627.6665,768.998",627.6665,768.998
"640.6665,768.998",640.6665,768.998
"640.6665,781.998",640.6665,781.998
"653.6665,781.998",653.6665,781.998
"666.6665,781.998",666.6665,781.998
"666.6665,794.998",666.6665,794.998
"679.6665,794.998",679.6665,794.998
"679.6665,807.998",679.6665,807.998
"692.6665,807.998",692.6665,807.998
"692.6665,820.998",692.6665,820.998
"692.6665,833.998",692.6665,833.998
"705.6665,833.998",705.6665,833.998
"718.6665,820.998",718.6665,820.998
"705.6665,846.998",705.6665,846.998
"705.6665,859.998",705.6665,859.998
"718.6665,859.998",718.6665,859.998
"718.6665,872.998",718.6665,872.998
"718.6665,885.998",718.6665,885.998
"731.6665,885.998",731.6665,885.998
"731.6665,898.998",731.6665,898.998
"731.6665,911.998",731.6665,911.998
"744.6665,911.998",744.6665,911.998
"718.6665,911.998",718.6665,911.998
"718.6665,924.998",718.6665,924.998
"705.6665,924.998",705.6665,924.998
"692.6665,924.998",692.6665,924.998
"692.6665,937.998",692.6665,937.998
"679.6665,937.998",679.6665,937.998
"666.6665,937.998",666.6665,937.998
"653.6665,937.998",653.6665,937.998
"653.6665,924.998",653.6665,924.998
"640.6665,924.998",640.6665,924.998
"640.6665,911.998",640.6665,911.998
"640.6665,898.998",640.6665,898.998
"627.6665,898.998",627.6665,898.998
"627.6665,885.998",627.6665,885.998
"627.6665,872.998",627.6665,872.998
"627.6665,859.998",627.6665,859.998
"627.6665,846.998",627.6665,846.998
"627.6665,833.998",627.6665,833.998
"640.6665,833.998",640.6665,833.998
"640.6665,820.998",640.6665,820.998
"640.6665,807.998",640.6665,807.998
"640.6665,794.998",640.6665,794.998
"653.6665,794.998",653.6665,794.998
"653.6665,807.998",653.6665,807.998
"666.6665,807.998",666.6665,807.998
"666.6665,820.998",666.6665,820.998
"679.6665,820.998",679.6665,820.998
"679.6665,833.998",679.6665,833.998
"679.6665,846.998",679.6665,846.998
"679.6665,859.998",679.6665,859.998
"692.6665,859.998",692.6665,859.998
"692.6665,872.998",692.6665,872.998
"705.6665,872.998",705.6665,872.998
"705.6665,885.998",705.6665,885.998
"705.6665,898.998",705.6665,898.998
"705.6665,911.998",705.6665,911.998
"692.6665,911.998",692.6665,911.998
"679.6665,911.998",679.6665,911.998
"679.6665,924.998",679.6665,924.998
"666.6665,924.998",666.6665,924.998
"666.6665,911.998",666.6665,911.998
"653.6665,911.998",653.6665,911.998
"653.6665,898.998",653.6665,898.998
"653.6665,885.998",653.6665,885.998
"640.6665,885.998",640.6665,885.998
"640.6665,872.998",640.6665,872.998
"640.6665,859.998",640.6665,859.998
"640.6665,846.998",640.6665,846.998
"653.6665,846.998",653.6665,846.998
"653.6665,833.998",653.6665,833.998
"666.6665,833.998",666.6665,833.998
"666.6665,846.998",666.6665,846.998
"666.6665,859.998",666.6665,859.998
"666.6665,872.998",666.6665,872.998
"679.6665,872.998",679.6665,872.998
"679.6665,885.998",679.6665,885.998
"692.6665,885.998",692.6665,885.998
"692.6665,898.998",692.6665,898.998
"679.6665,898.998",679.6665,898.998
"666.6665,898.998",666.6665,898.998
"666.6665,885.998",666.6665,885.998
"653.6665,872.998",653.6665,872.998
"653.6665,859.998",653.6665,859.998
"653.6665,820.998",653.6665,820.998
"718.6665,898.998",718.6665,898.998
"692.6665,846.998",692.6665,846.998
"731.6665,924.998",731.6665,924.998
"744.6665,924.998",744.6665,924.998
"731.6665,859.998",731.6665,859.998
"705.6665,807.998",705.6665,807.998
"718.6665,768.998",718.6665,768.998
"731.6665,755.998",731.6665,755.998
"744.6665,768.998",744.6665,768.998
"770.6665,677.998",770.6665,677.998
"796.6665,677.998",796.6665,677.998
"796.6665,690.998",796.6665,690.998
"783.6665,703.998",783.6665,703.998
"796.6665,664.998",796.6665,664.998
"809.6665,664.998",809.6665,664.998
"809.6665,638.998",809.6665,638.998
"796.6665,638.998",796.6665,638.998
"796.6665,612.998",796.6665,612.998
"783.6665,612.998",783.6665,612.998
"783.6665,599.998",783.6665,599.998
"770.6665,599.998",770.6665,599.998
"770.6665,586.998",770.6665,586.998
"783.6665,586.998",783.6665,586.998
"783.6665,573.998",783.6665,573.998
"796.6665,586.998",796.6665,586.998
"796.6665,599.998",796.6665,599.998
"809.6665,599.998",809.6665,599.998
"809.6665,612.998",809.6665,612.998
"822.6665,625.998",822.6665,625.998
"835.6665,625.998",835.6665,625.998
"835.6665,638.998",835.6665,638.998
"822.6665,638.998",822.6665,638.998
"822.6665,651.998",822.6665,651.998
"835.6665,651.998",835.6665,651.998
"835.6665,664.998",835.6665,664.998
"848.666,664.998",848.666,664.998
"861.666,664.998",861.666,664.998
"861.666,677.998",861.666,677.998
"874.666,677.998",874.666,677.998
"874.666,664.998",874.666,664.998
"874.666,651.998",874.666,651.998
"861.666,651.998",861.666,651.998
"874.666,638.998",874.666,638.998
"887.666,625.998",887.666,625.998
"887.666,638.998",887.666,638.998
"887.666,651.998",887.666,651.998
"887.666,664.998",887.666,664.998
"900.666,664.998",900.666,664.998
"900.666,677.998",900.666,677.998
"900.666,690.998",900.666,690.998
"900.666,703.998",900.666,703.998
"913.666,703.998",913.666,703.998
"913.666,690.998",913.666,690.998
"913.666,677.998",913.666,677.998
"913.666,664.998",913.666,664.998
"913.666,651.998",913.666,651.998
"900.666,651.998",900.666,651.998
"900.666,638.998",900.666,638.998
"900.666,625.998",900.666,625.998
"913.666,625.998",913.666,625.998
"913.666,638.998",913.666,638.998
"926.666,638.998",926.666,638.998
"926.666,625.998",926.666,625.998
"939.666,638.998",939.666,638.998
"939.666,651.998",939.666,651.998
"926.666,651.998",926.666,651.998
"926.666,664.998",926.666,664.998
"926.666,677.998",926.666,677.998
"926.666,690.998",926.666,690.998
"926.666,703.998",926.666,703.998
"939.666,703.998",939.666,703.998
"952.666,703.998",952.666,703.998
"965.666,703.998",965.666,703.998
"965.666,690.998",965.666,690.998
"952.666,690.998",952.666,690.998
"939.666,690.998",939.666,690.998
"939.666,677.998",939.666,677.998
"952.666,677.998",952.666,677.998
"952.666,664.998",952.666,664.998
"939.666,664.998",939.666,664.998
"952.666,651.998",952.666,651.998
"965.666,638.998",965.666,638.998
"965.666,651.998",965.666,651.998
"965.666,664.998",965.666,664.998
"965.666,677.998",965.666,677.998
"978.666,677.998",978.666,677.998
"978.666,690.998",978.666,690.998
"978.666,703.998",978.666,703.998
"978.666,716.998",978.666,716.998
"978.666,729.998",978.666,729.998
"965.666,729.998",965.666,729.998
"965.666,742.998",965.666,742.998
"965.666,755.998",965.666,755.998
"978.666,755.998",978.666,755.998
"978.666,742.998",978.666,742.998
"991.666,742.998",991.666,742.998
"991.666,729.998",991.666,729.998
"991.666,716.998",991.666,716.998
"991.666,703.998",991.666,703.998
"991.666,690.998",991.666,690.998
"991.666,677.998",991.666,677.998
"991.666,664.998",991.666,664.998
"978.666,664.998",978.666,664.998
"978.666,651.998",978.666,651.998
"991.666,651.998",991.666,651.998
"991.666,638.998",991.666,638.998
"991.666,625.998",991.666,625.998
"978.666,625.998",978.666,625.998
"965.666,625.998",965.666,625.998
"1004.666,612.998",1004.666,612.998
"1004.666,599.998",1004.666,599.998
"1004.666,586.998",1004.666,586.998
"991.666,586.998",991.666,586.998
"978.666,599.998",978.666,599.998
"965.666,599.998",965.666,599.998
"952.666,599.998",952.666,599.998
"952.666,586.998",952.666,586.998
"965.666,586.998",965.666,586.998
"978.666,586.998",978.666,586.998
"978.666,573.998",978.666,573.998
"965.666,560.998",965.666,560.998
"978.666,560.998",978.666,560.998
"978.666,547.998",978.666,547.998
"965.666,534.998",965.666,534.998
"952.666,534.998",952.666,534.998
"939.666,534.998",939.666,534.998
"926.666,534.998",926.666,534.998
"913.666,534.998",913.666,534.998
"913.666,547.998",913.666,547.998
"900.666,534.998",900.666,534.998
"887.666,534.998",887.666,534.998
"874.666,534.998",874.666,534.998
"874.666,547.998",874.666,547.998
"861.666,547.998",861.666,547.998
"848.666,547.998",848.666,547.998
"848.666,560.998",848.666,560.998
"835.666,560.998",835.666,560.998
"835.666,573.998",835.666,573.998
"822.666,560.998",822.666,560.998
"809.666,560.998",809.666,560.998
"796.666,560.998",796.666,560.998
"783.666,560.998",783.666,560.998
"783.666,547.998",783.666,547.998
"770.666,547.998",770.666,547.998
"770.666,534.998",770.666,534.998
"770.666,521.998",770.666,521.998
"757.666,521.998",757.666,521.998
"757.666,508.998",757.666,508.998
"744.666,508.998",744.666,508.998
"744.666,495.998",744.666,495.998
"731.666,495.998",731.666,495.998
"744.666,482.998",744.666,482.998
"731.666,482.998",731.666,482.998
"744.666,469.998",744.666,469.998
"731.666,456.998",731.666,456.998
"744.666,456.998",744.666,456.998
"744.666,443.998",744.666,443.998
"757.666,443.998",757.666,443.998
"757.666,430.998",757.666,430.998
"770.666,430.998",770.666,430.998
"770.666,417.998",770.666,417.998
"783.666,430.998",783.666,430.998
"783.666,417.998",783.666,417.998
"796.666,430.998",796.666,430.998
"796.666,417.998",796.666,417.998
"809.666,430.998",809.666,430.998
"822.666,430.998",822.666,430.998
"835.666,430.998",835.666,430.998
"848.666,430.998",848.666,430.998
"848.666,417.998",848.666,417.998
"861.666,417.998",861.666,417.998
"861.666,404.998",861.666,404.998
"861.666,391.998",861.666,391.998
"861.666,378.998",861.666,378.998
"874.666,378.998",874.666,378.998
"874.666,365.998",874.666,365.998
"887.666,365.998",887.666,365.998
"887.666,352.998",887.666,352.998
"874.666,352.998",874.666,352.998
"887.666,339.998",887.666,339.998
"874.666,339.998",874.666,339.998
"887.666,326.998",887.666,326.998
"887.666,313.998",887.666,313.998
"874.666,313.998",874.666,313.998
"874.666,300.998",874.666,300.998
"887.666,300.998",887.666,300.998
"887.666,287.998",887.666,287.998
"874.666,287.998",874.666,287.998
"887.666,274.998",887.666,274.998
"887.666,261.998",887.666,261.998
"900.666,248.998",900.666,248.998
"887.666,248.998",887.666,248.998
"900.666,235.998",900.666,235.998
"900.666,222.998",900.666,222.998
"913.666,222.998",913.666,222.998
"913.666,235.998",913.666,235.998
"926.666,235.998",926.666,235.998
"926.666,222.998",926.666,222.998
"939.666,235.998",939.666,235.998
"939.666,248.998",939.666,248.998
"952.666,248.998",952.666,248.998
"952.666,261.998",952.666,261.998
"952.666,274.998",952.666,274.998
"965.666,274.998",965.666,274.998
"965.666,287.998",965.666,287.998
"965.666,300.998",965.666,300.998
"978.666,300.998",978.666,300.998
"1030.666,300.998",1030.666,300.998
"1043.666,300.998",1043.666,300.998
"1043.666,313.998",1043.666,313.998
"1030.666,287.998",1030.666,287.998
"1030.666,274.998",1030.666,274.998
"1017.666,274.998",1017.666,274.998
"978.666,313.998",978.666,313.998
"991.666,313.998",991.666,313.998
"991.666,326.998",991.666,326.998
"991.666,339.998",991.666,339.998
"978.666,339.998",978.666,339.998
"991.666,352.998",991.666,352.998
"991.666,365.998",991.666,365.998
"991.666,378.998",991.666,378.998
"991.666,391.998",991.666,391.998
"1004.666,391.998",1004.666,391.998
"1004.666,404.998",1004.666,404.998
"1017.666,404.998",1017.666,404.998
"1017.666,417.998",1017.666,417.998
"1030.666,417.998",1030.666,417.998
"1030.666,430.998",1030.666,430.998
"1017.666,430.998",1017.666,430.998
"1004.666,430.998",1004.666,430.998
"1004.666,443.998",1004.666,443.998
